seed,ips_threshold,drop_rate,dpr_pct,sync_pct,delivery_pct,ips_score,llm_fallbacks,gate_pass_rate,drift_failures
46,0.98,0.4,99.6,60.08,72.08,0.9947,2500,0.9296,176
47,0.98,0.4,99.67,61.69,73.44,0.9945,2502,0.9213,197
48,0.98,0.4,99.74,63.62,72.74,0.9947,2501,0.9436,141
49,0.98,0.4,99.44,66.01,74.28,0.9947,2503,0.9341,165
50,0.98,0.4,99.63,60.57,73.32,0.9946,2495,0.9319,170
51,0.98,0.4,99.48,54.66,72.21,0.9946,2490,0.9446,138
42,0.98,0.8,99.47,40.63,52.42,0.9946,2503,0.9365,159
43,0.98,0.8,99.57,38.71,52.01,0.9947,2495,0.9423,144
44,0.98,0.8,99.62,38.03,52.03,0.9946,2503,0.9381,155
45,0.98,0.8,99.58,36.95,51.99,0.9947,2502,0.9369,158
46,0.98,0.8,99.68,38.4,51.7,0.9947,2500,0.9296,176
47,0.98,0.8,99.65,36.99,51.64,0.9945,2502,0.9213,197
48,0.98,0.8,99.7,39.34,51.23,0.9947,2501,0.9436,141
49,0.98,0.8,99.47,39.24,51.59,0.9947,2503,0.9341,165
50,0.98,0.8,99.62,37.51,52.28,0.9946,2495,0.9319,170
51,0.98,0.8,99.53,32.53,49.86,0.9946,2490,0.9446,138
